Series_Title,Released_Year,Certificate,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4,Keywords,soup
Lage Raho Munna Bhai,2006,Family,comedy  drama  romance,8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,rajkumarhirani,sanjaydutt,arshadwarsi,vidyabalan,bomanirani, ,comedy  drama  romance rajkumarhirani sanjaydutt arshadwarsi vidyabalan bomanirani  
Million Dollar Baby,2004,Adult,drama  sport,8.1,A determined woman works with a hardened boxing trainer to become a professional.,clinteastwood,hilaryswank,clinteastwood,morganfreeman,jaybaruchel, ,drama  sport clinteastwood hilaryswank clinteastwood morganfreeman jaybaruchel  
Hotel Rwanda,2004,Adult,biography  drama  history,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",terrygeorge,doncheadle,sophieokonedo,joaquinphoenix,xolanimali, ,biography  drama  history terrygeorge doncheadle sophieokonedo joaquinphoenix xolanimali  
Taegukgi hwinalrimyeo,2004,Adult,action  drama  war,8.1,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",je-kyukang,jangdong-gun,wonbin,eun-julee,hyeong-jinkong, ,action  drama  war je-kyukang jangdong-gun wonbin eun-julee hyeong-jinkong  
Before Sunset,2004,Adult,drama  romance,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",richardlinklater,ethanhawke,juliedelpy,vernondobtcheff,louiselemoinetorrès, ,drama  romance richardlinklater ethanhawke juliedelpy vernondobtcheff louiselemoinetorrès  
Munna Bhai M.B.B.S.,2003,Family,comedy  drama  musical,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.,rajkumarhirani,sanjaydutt,arshadwarsi,gracysingh,sunildutt, ,comedy  drama  musical rajkumarhirani sanjaydutt arshadwarsi gracysingh sunildutt  
Salinui chueok,2003,Adult,crime  drama  mystery,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",bongjoonho,kang-hosong,kimsang-kyung,roe-hakim,jae-hosong, ,crime  drama  mystery bongjoonho kang-hosong kimsang-kyung roe-hakim jae-hosong  
Dil Chahta Hai,2001,Adult,comedy  drama  romance,8.1,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",farhanakhtar,aamirkhan,saifalikhan,akshayekhanna,preityzinta, ,comedy  drama  romance farhanakhtar aamirkhan saifalikhan akshayekhanna preityzinta  
Kill Bill: Vol. 1,2003,Adult,action  crime  drama,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",quentintarantino,umathurman,davidcarradine,darylhannah,michaelmadsen, ,action  crime  drama quentintarantino umathurman davidcarradine darylhannah michaelmadsen  
Finding Nemo,2003,Family,animation  adventure  comedy,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",andrewstanton,leeunkrich,albertbrooks,ellendegeneres,alexandergould, ,animation  adventure  comedy andrewstanton leeunkrich albertbrooks ellendegeneres alexandergould  
Catch Me If You Can,2002,Adult,biography  crime  drama,8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",stevenspielberg,leonardodicaprio,tomhanks,christopherwalken,martinsheen, ,biography  crime  drama stevenspielberg leonardodicaprio tomhanks christopherwalken martinsheen  
Amores perros,2000,Adult,drama  thriller,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",alejandrog.iñárritu,emilioechevarría,gaelgarcíabernal,goyatoledo,álvaroguerrero, ,drama  thriller alejandrog.iñárritu emilioechevarría gaelgarcíabernal goyatoledo álvaroguerrero  
"Monsters, Inc.",2001,Family,animation  adventure  comedy,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",petedocter,davidsilverman,leeunkrich,billycrystal,johngoodman, ,animation  adventure  comedy petedocter davidsilverman leeunkrich billycrystal johngoodman  
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,Adult,animation  action  drama,8.1,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,hideakianno,kazuyatsurumaki,megumiogata,megumihayashibara,yûkomiyamura, ,animation  action  drama hideakianno kazuyatsurumaki megumiogata megumihayashibara yûkomiyamura  
Lagaan: Once Upon a Time in India,2001,Family,adventure  drama  musical,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,ashutoshgowariker,aamirkhan,raghuviryadav,gracysingh,rachelshelley, ,adventure  drama  musical ashutoshgowariker aamirkhan raghuviryadav gracysingh rachelshelley  
The Sixth Sense,1999,Adult,drama  mystery  thriller,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,m.nightshyamalan,brucewillis,haleyjoelosment,tonicollette,oliviawilliams, ,drama  mystery  thriller m.nightshyamalan brucewillis haleyjoelosment tonicollette oliviawilliams  
La leggenda del pianista sull'oceano,1998,Family,drama  music  romance,8.1,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",giuseppetornatore,timroth,pruitttaylorvince,mélaniethierry,billnunn, ,drama  music  romance giuseppetornatore timroth pruitttaylorvince mélaniethierry billnunn  
The Truman Show,1998,Family,comedy  drama,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,peterweir,jimcarrey,edharris,lauralinney,noahemmerich, ,comedy  drama peterweir jimcarrey edharris lauralinney noahemmerich  
"Crna macka, beli macor",1998,Adult,comedy  crime  romance,8.1,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,emirkusturica,bajramseverdzan,srdjan'zika'todorovic,brankakatic,florijanajdini, ,comedy  crime  romance emirkusturica bajramseverdzan srdjan'zika'todorovic brankakatic florijanajdini  
The Big Lebowski,1998,Adult,comedy  crime  sport,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",joelcoen,ethancoen,jeffbridges,johngoodman,juliannemoore, ,comedy  crime  sport joelcoen ethancoen jeffbridges johngoodman juliannemoore  
Fa yeung nin wah,2000,Family,drama  romance,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",kar-waiwong,tonychiu-waileung,maggiecheung,pinglamsiu,tungcho'joe'cheung, ,drama  romance kar-waiwong tonychiu-waileung maggiecheung pinglamsiu tungcho'joe'cheung  
Trainspotting,1996,Adult,drama,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",dannyboyle,ewanmcgregor,ewenbremner,jonnyleemiller,kevinmckidd, ,drama dannyboyle ewanmcgregor ewenbremner jonnyleemiller kevinmckidd  
Fargo,1996,Adult,crime  drama  thriller,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,joelcoen,ethancoen,williamh.macy,francesmcdormand,stevebuscemi, ,crime  drama  thriller joelcoen ethancoen williamh.macy francesmcdormand stevebuscemi  
Underground,1995,Adult,comedy  drama  war,8.1,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",emirkusturica,predrag'miki'manojlovic,lazarristovski,mirjanajokovic,slavkostimac, ,comedy  drama  war emirkusturica predrag'miki'manojlovic lazarristovski mirjanajokovic slavkostimac  
La haine,1995,Adult,crime  drama,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,mathieukassovitz,vincentcassel,hubertkoundé,saïdtaghmaoui,abdelahmedghili, ,crime  drama mathieukassovitz vincentcassel hubertkoundé saïdtaghmaoui abdelahmedghili  
Dilwale Dulhania Le Jayenge,1995,Family,drama  romance,8.1,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",adityachopra,shahrukhkhan,kajol,amrishpuri,faridajalal, ,drama  romance adityachopra shahrukhkhan kajol amrishpuri faridajalal  
Before Sunrise,1995,Adult,drama  romance,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",richardlinklater,ethanhawke,juliedelpy,andreaeckert,hannopöschl, ,drama  romance richardlinklater ethanhawke juliedelpy andreaeckert hannopöschl  
Trois couleurs: Rouge,1994,Family,drama  mystery  romance,8.1,A model discovers a retired judge is keen on invading people's privacy.,krzysztofkieslowski,irènejacob,jean-louistrintignant,frédériquefeder,jean-pierrelorit, ,drama  mystery  romance krzysztofkieslowski irènejacob jean-louistrintignant frédériquefeder jean-pierrelorit  
Chung Hing sam lam,1994,Family,comedy  crime  drama,8.1,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",kar-waiwong,brigittelin,takeshikaneshiro,tonychiu-waileung,fayewong, ,comedy  crime  drama kar-waiwong brigittelin takeshikaneshiro tonychiu-waileung fayewong  
Jurassic Park,1993,Adult,action  adventure  sci-fi,8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,stevenspielberg,samneill,lauradern,jeffgoldblum,richardattenborough, ,action  adventure  sci-fi stevenspielberg samneill lauradern jeffgoldblum richardattenborough  
In the Name of the Father,1993,Adult,biography  crime  drama,8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,jimsheridan,danielday-lewis,petepostlethwaite,alisoncrosbie,philipking, ,biography  crime  drama jimsheridan danielday-lewis petepostlethwaite alisoncrosbie philipking  
Ba wang bie ji,1993,Adult,drama  music  romance,8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,kaigechen,lesliecheung,fengyizhang,gongli,youge, ,drama  music  romance kaigechen lesliecheung fengyizhang gongli youge  
Dà hóng denglong gaogao guà,1991,Family,drama  history  romance,8.1,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",yimouzhang,gongli,jingwuma,saifeihe,cuifencao, ,drama  history  romance yimouzhang gongli jingwuma saifeihe cuifencao  
Dead Poets Society,1989,Family,comedy  drama,8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,peterweir,robinwilliams,robertseanleonard,ethanhawke,joshcharles, ,comedy  drama peterweir robinwilliams robertseanleonard ethanhawke joshcharles  
Stand by Me,1986,Family,adventure  drama,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",robreiner,wilwheaton,riverphoenix,coreyfeldman,jerryo'connell, ,adventure  drama robreiner wilwheaton riverphoenix coreyfeldman jerryo'connell  
Platoon,1986,Adult,drama  war,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",oliverstone,charliesheen,tomberenger,willemdafoe,keithdavid, ,drama  war oliverstone charliesheen tomberenger willemdafoe keithdavid  
"Paris, Texas",1984,Family,drama,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",wimwenders,harrydeanstanton,nastassjakinski,deanstockwell,auroreclément, ,drama wimwenders harrydeanstanton nastassjakinski deanstockwell auroreclément  
Kaze no tani no Naushika,1984,Family,animation  adventure  fantasy,8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,hayaomiyazaki,sumishimamoto,mahitotsujimura,hisakokyôda,gorônaya, ,animation  adventure  fantasy hayaomiyazaki sumishimamoto mahitotsujimura hisakokyôda gorônaya  
The Thing,1982,Adult,horror  mystery  sci-fi,8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,johncarpenter,kurtrussell,wilfordbrimley,keithdavid,richardmasur, ,horror  mystery  sci-fi johncarpenter kurtrussell wilfordbrimley keithdavid richardmasur  
Pink Floyd: The Wall,1982,Adult,drama  fantasy  music,8.1,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,alanparker,bobgeldof,christinehargreaves,jameslaurenson,eleanordavid, ,drama  fantasy  music alanparker bobgeldof christinehargreaves jameslaurenson eleanordavid  
Fitzcarraldo,1982,Adult,adventure  drama,8.1,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",wernerherzog,klauskinski,claudiacardinale,josélewgoy,miguelángelfuentes, ,adventure  drama wernerherzog klauskinski claudiacardinale josélewgoy miguelángelfuentes  
Fanny och Alexander,1982,Adult,drama,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",ingmarbergman,bertilguve,pernillaallwin,kristinaadolphson,börjeahlstedt, ,drama ingmarbergman bertilguve pernillaallwin kristinaadolphson börjeahlstedt  
Blade Runner,1982,Adult,action  sci-fi  thriller,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",ridleyscott,harrisonford,rutgerhauer,seanyoung,edwardjamesolmos, ,action  sci-fi  thriller ridleyscott harrisonford rutgerhauer seanyoung edwardjamesolmos  
The Elephant Man,1980,Adult,biography  drama,8.1,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",davidlynch,anthonyhopkins,johnhurt,annebancroft,johngielgud, ,biography  drama davidlynch anthonyhopkins johnhurt annebancroft johngielgud  
Life of Brian,1979,Adult,comedy,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",terryjones,grahamchapman,johncleese,michaelpalin,terrygilliam, ,comedy terryjones grahamchapman johncleese michaelpalin terrygilliam  
The Deer Hunter,1978,Adult,drama  war,8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,michaelcimino,robertdeniro,christopherwalken,johncazale,johnsavage, ,drama  war michaelcimino robertdeniro christopherwalken johncazale johnsavage  
Rocky,1976,Family,drama  sport,8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,johng.avildsen,sylvesterstallone,taliashire,burtyoung,carlweathers, ,drama  sport johng.avildsen sylvesterstallone taliashire burtyoung carlweathers  
Network,1976,Adult,drama,8.1,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,sidneylumet,fayedunaway,williamholden,peterfinch,robertduvall, ,drama sidneylumet fayedunaway williamholden peterfinch robertduvall  
Barry Lyndon,1975,Family,adventure  drama  history,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,stanleykubrick,ryano'neal,marisaberenson,patrickmagee,hardykrüger, ,adventure  drama  history stanleykubrick ryano'neal marisaberenson patrickmagee hardykrüger  
Zerkalo,1975,,biography  drama,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",andreitarkovsky,margaritaterekhova,filippyankovskiy,ignatdaniltsev,olegyankovskiy, ,biography  drama andreitarkovsky margaritaterekhova filippyankovskiy ignatdaniltsev olegyankovskiy  
Chinatown,1974,Adult,drama  mystery  thriller,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",romanpolanski,jacknicholson,fayedunaway,johnhuston,perrylopez, ,drama  mystery  thriller romanpolanski jacknicholson fayedunaway johnhuston perrylopez  
Paper Moon,1973,Family,comedy  crime  drama,8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",peterbogdanovich,ryano'neal,tatumo'neal,madelinekahn,johnhillerman, ,comedy  crime  drama peterbogdanovich ryano'neal tatumo'neal madelinekahn johnhillerman  
Viskningar och rop,1972,Adult,drama,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",ingmarbergman,harrietandersson,livullmann,karisylwan,ingridthulin, ,drama ingmarbergman harrietandersson livullmann karisylwan ingridthulin  
Solaris,1972,Family,drama  mystery  sci-fi,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,andreitarkovsky,natalyabondarchuk,donatasbanionis,jürijärvet,vladislavdvorzhetskiy, ,drama  mystery  sci-fi andreitarkovsky natalyabondarchuk donatasbanionis jürijärvet vladislavdvorzhetskiy  
Le samouraï,1967,Adult,crime  drama  mystery,8.1,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,jean-pierremelville,alaindelon,françoispérier,nathaliedelon,cathyrosier, ,crime  drama  mystery jean-pierremelville alaindelon françoispérier nathaliedelon cathyrosier  
Cool Hand Luke,1967,Adult,crime  drama,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",stuartrosenberg,paulnewman,georgekennedy,strothermartin,j.d.cannon, ,crime  drama stuartrosenberg paulnewman georgekennedy strothermartin j.d.cannon  
Persona,1966,Adult,drama  thriller,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,ingmarbergman,bibiandersson,livullmann,margarethakrook,gunnarbjörnstrand, ,drama  thriller ingmarbergman bibiandersson livullmann margarethakrook gunnarbjörnstrand  
Andrei Rublev,1966,Adult,biography  drama  history,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",andreitarkovsky,anatoliysolonitsyn,ivanlapikov,nikolaygrinko,nikolaysergeev, ,biography  drama  history andreitarkovsky anatoliysolonitsyn ivanlapikov nikolaygrinko nikolaysergeev  
La battaglia di Algeri,1966,Adult,drama  war,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",gillopontecorvo,brahimhadjadj,jeanmartin,yacefsaadi,samiakerbash, ,drama  war gillopontecorvo brahimhadjadj jeanmartin yacefsaadi samiakerbash  
El ángel exterminador,1962,Adult,drama  fantasy,8.1,The guests at an upper-class dinner party find themselves unable to leave.,luisbuñuel,silviapinal,jacquelineandere,enriquerambal,josébaviera, ,drama  fantasy luisbuñuel silviapinal jacquelineandere enriquerambal josébaviera  
What Ever Happened to Baby Jane?,1962,Adult,drama  horror  thriller,8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,robertaldrich,bettedavis,joancrawford,victorbuono,wesleyaddy, ,drama  horror  thriller robertaldrich bettedavis joancrawford victorbuono wesleyaddy  
Sanjuro,1962,Family,action  comedy  crime,8.1,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",akirakurosawa,toshirômifune,tatsuyanakadai,keijukobayashi,yûnosukeitô, ,action  comedy  crime akirakurosawa toshirômifune tatsuyanakadai keijukobayashi yûnosukeitô  
The Man Who Shot Liberty Valance,1962,Adult,drama  western,8.1,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,johnford,jamesstewart,johnwayne,veramiles,leemarvin, ,drama  western johnford jamesstewart johnwayne veramiles leemarvin  
Ivanovo detstvo,1962,Adult,drama  war,8.1,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",andreitarkovsky,eduardabalov,nikolayburlyaev,valentinzubkov,evgeniyzharikov, ,drama  war andreitarkovsky eduardabalov nikolayburlyaev valentinzubkov evgeniyzharikov  
Jungfrukällan,1960,Adult,drama,8.1,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",ingmarbergman,maxvonsydow,birgittavalberg,gunnellindblom,birgittapettersson, ,drama ingmarbergman maxvonsydow birgittavalberg gunnellindblom birgittapettersson  
Inherit the Wind,1960,Adult,biography  drama  history,8.1,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",stanleykramer,spencertracy,fredricmarch,genekelly,dickyork, ,biography  drama  history stanleykramer spencertracy fredricmarch genekelly dickyork  
Les quatre cents coups,1959,Adult,crime  drama,8.1,"A young boy, left without attention, delves into a life of petty crime.",françoistruffaut,jean-pierreléaud,albertrémy,clairemaurier,guydecomble, ,crime  drama françoistruffaut jean-pierreléaud albertrémy clairemaurier guydecomble  
Ben-Hur,1959,Family,adventure  drama  history,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",williamwyler,charltonheston,jackhawkins,stephenboyd,hayaharareet, ,adventure  drama  history williamwyler charltonheston jackhawkins stephenboyd hayaharareet  
Kakushi-toride no san-akunin,1958,Adult,adventure  drama,8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",akirakurosawa,toshirômifune,misauehara,minoruchiaki,kamatarifujiwara, ,adventure  drama akirakurosawa toshirômifune misauehara minoruchiaki kamatarifujiwara  
Le notti di Cabiria,1957,Adult,drama,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,federicofellini,giuliettamasina,françoispérier,francamarzi,doriangray, ,drama federicofellini giuliettamasina françoispérier francamarzi doriangray  
Kumonosu-jô,1957,Adult,drama  history,8.1,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",akirakurosawa,toshirômifune,minoruchiaki,isuzuyamada,takashishimura, ,drama  history akirakurosawa toshirômifune minoruchiaki isuzuyamada takashishimura  
The Bridge on the River Kwai,1957,Family,adventure  drama  war,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",davidlean,williamholden,alecguinness,jackhawkins,sessuehayakawa, ,adventure  drama  war davidlean williamholden alecguinness jackhawkins sessuehayakawa  
On the Waterfront,1954,Adult,crime  drama  thriller,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,eliakazan,marlonbrando,karlmalden,leej.cobb,rodsteiger, ,crime  drama  thriller eliakazan marlonbrando karlmalden leej.cobb rodsteiger  
Le salaire de la peur,1953,Family,adventure  drama  thriller,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",henri-georgesclouzot,yvesmontand,charlesvanel,petervaneyck,folcolulli, ,adventure  drama  thriller henri-georgesclouzot yvesmontand charlesvanel petervaneyck folcolulli  
Ace in the Hole,1951,Adult,drama  film-noir,8.1,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",billywilder,kirkdouglas,jansterling,robertarthur,porterhall, ,drama  film-noir billywilder kirkdouglas jansterling robertarthur porterhall  
White Heat,1949,Adult,action  crime  drama,8.1,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,raoulwalsh,jamescagney,virginiamayo,edmondo'brien,margaretwycherly, ,action  crime  drama raoulwalsh jamescagney virginiamayo edmondo'brien margaretwycherly  
The Third Man,1949,Adult,film-noir  mystery  thriller,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",carolreed,orsonwelles,josephcotten,alidavalli,trevorhoward, ,film-noir  mystery  thriller carolreed orsonwelles josephcotten alidavalli trevorhoward  
The Red Shoes,1948,Adult,drama  music  romance,8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,michaelpowell,emericpressburger,antonwalbrook,mariusgoring,moirashearer, ,drama  music  romance michaelpowell emericpressburger antonwalbrook mariusgoring moirashearer  
The Shop Around the Corner,1940,Adult,comedy  drama  romance,8.1,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",ernstlubitsch,margaretsullavan,jamesstewart,frankmorgan,josephschildkraut, ,comedy  drama  romance ernstlubitsch margaretsullavan jamesstewart frankmorgan josephschildkraut  
Rebecca,1940,Adult,drama  mystery  romance,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,alfredhitchcock,laurenceolivier,joanfontaine,georgesanders,judithanderson, ,drama  mystery  romance alfredhitchcock laurenceolivier joanfontaine georgesanders judithanderson  
Mr. Smith Goes to Washington,1939,Adult,comedy  drama,8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",frankcapra,jamesstewart,jeanarthur,clauderains,edwardarnold, ,comedy  drama frankcapra jamesstewart jeanarthur clauderains edwardarnold  
Gone with the Wind,1939,Family,drama  history  romance,8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,victorfleming,georgecukor,samwood,clarkgable,vivienleigh, ,drama  history  romance victorfleming georgecukor samwood clarkgable vivienleigh  
La Grande Illusion,1937,Adult,drama  war,8.1,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",jeanrenoir,jeangabin,ditaparlo,pierrefresnay,erichvonstroheim, ,drama  war jeanrenoir jeangabin ditaparlo pierrefresnay erichvonstroheim  
It Happened One Night,1934,Adult,comedy  romance,8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",frankcapra,clarkgable,claudettecolbert,walterconnolly,roscoekarns, ,comedy  romance frankcapra clarkgable claudettecolbert walterconnolly roscoekarns  
La passion de Jeanne d'Arc,1928,Adult,biography  drama  history,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",carltheodordreyer,mariafalconetti,eugenesilvain,andréberley,mauriceschutz, ,biography  drama  history carltheodordreyer mariafalconetti eugenesilvain andréberley mauriceschutz  
The Circus,1928,Adult,comedy  romance,8.1,The Tramp finds work and the girl of his dreams at a circus.,charleschaplin,charleschaplin,mernakennedy,alernestgarcia,harrycrocker, ,comedy  romance charleschaplin charleschaplin mernakennedy alernestgarcia harrycrocker  
Sunrise: A Song of Two Humans,1927,Adult,drama  romance,8.1,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,f.w.murnau,georgeo'brien,janetgaynor,margaretlivingston,bodilrosing, ,drama  romance f.w.murnau georgeo'brien janetgaynor margaretlivingston bodilrosing  
The General,1926,Adult,action  adventure  comedy,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",clydebruckman,busterkeaton,busterkeaton,marionmack,glencavender, ,action  adventure  comedy clydebruckman busterkeaton busterkeaton marionmack glencavender  
Das Cabinet des Dr. Caligari,1920,Adult,fantasy  horror  mystery,8.1,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",robertwiene,wernerkrauss,conradveidt,friedrichfeher,lildagover, ,fantasy  horror  mystery robertwiene wernerkrauss conradveidt friedrichfeher lildagover  
Badhaai ho,2018,Adult,comedy  drama,8.0,A man is embarrassed when he finds out his mother is pregnant.,amitravindernathsharma,ayushmannkhurrana,neenagupta,gajrajrao,sanyamalhotra, ,comedy  drama amitravindernathsharma ayushmannkhurrana neenagupta gajrajrao sanyamalhotra  
Togo,2019,Family,adventure  biography  drama,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",ericsoncore,willemdafoe,juliannenicholson,christopherheyerdahl,richarddormer, ,adventure  biography  drama ericsoncore willemdafoe juliannenicholson christopherheyerdahl richarddormer  
