Series_Title,Released_Year,Certificate,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4,Keywords,soup
Se7en,1995,Adult,crime  drama  mystery,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",davidfincher,morganfreeman,bradpitt,kevinspacey,andrewkevinwalker, ,crime  drama  mystery davidfincher morganfreeman bradpitt kevinspacey andrewkevinwalker  
The Silence of the Lambs,1991,Adult,crime  drama  thriller,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",jonathandemme,jodiefoster,anthonyhopkins,lawrencea.bonney,kasilemmons, ,crime  drama  thriller jonathandemme jodiefoster anthonyhopkins lawrencea.bonney kasilemmons  
Star Wars,1977,Adult,action  adventure  fantasy,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",georgelucas,markhamill,harrisonford,carriefisher,alecguinness, ,action  adventure  fantasy georgelucas markhamill harrisonford carriefisher alecguinness  
Seppuku,1962,Adult,action  drama  mystery,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",masakikobayashi,tatsuyanakadai,akiraishihama,shimaiwashita,tetsurôtanba, ,action  drama  mystery masakikobayashi tatsuyanakadai akiraishihama shimaiwashita tetsurôtanba  
Shichinin no samurai,1954,Family,action  adventure  drama,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,akirakurosawa,toshirômifune,takashishimura,keikotsushima,yukikoshimazaki, ,action  adventure  drama akirakurosawa toshirômifune takashishimura keikotsushima yukikoshimazaki  
It's a Wonderful Life,1946,Family,drama  family  fantasy,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,frankcapra,jamesstewart,donnareed,lionelbarrymore,thomasmitchell, ,drama  family  fantasy frankcapra jamesstewart donnareed lionelbarrymore thomasmitchell  
Joker,2019,Adult,crime  drama  thriller,8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",toddphillips,joaquinphoenix,robertdeniro,zaziebeetz,francesconroy, ,crime  drama  thriller toddphillips joaquinphoenix robertdeniro zaziebeetz francesconroy  
Whiplash,2014,Adult,drama  music,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,damienchazelle,milesteller,j.k.simmons,melissabenoist,paulreiser, ,drama  music damienchazelle milesteller j.k.simmons melissabenoist paulreiser  
The Intouchables,2011,Adult,biography  comedy  drama,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",oliviernakache,érictoledano,françoiscluzet,omarsy,anneleny, ,biography  comedy  drama oliviernakache érictoledano françoiscluzet omarsy anneleny  
The Prestige,2006,Family,drama  mystery  sci-fi,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",christophernolan,christianbale,hughjackman,scarlettjohansson,michaelcaine, ,drama  mystery  sci-fi christophernolan christianbale hughjackman scarlettjohansson michaelcaine  
The Departed,2006,Adult,crime  drama  thriller,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,martinscorsese,leonardodicaprio,mattdamon,jacknicholson,markwahlberg, ,crime  drama  thriller martinscorsese leonardodicaprio mattdamon jacknicholson markwahlberg  
The Pianist,2002,Adult,biography  drama  music,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,romanpolanski,adrienbrody,thomaskretschmann,frankfinlay,emiliafox, ,biography  drama  music romanpolanski adrienbrody thomaskretschmann frankfinlay emiliafox  
Gladiator,2000,Adult,action  adventure  drama,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,ridleyscott,russellcrowe,joaquinphoenix,connienielsen,oliverreed, ,action  adventure  drama ridleyscott russellcrowe joaquinphoenix connienielsen oliverreed  
American History X,1998,Adult,drama,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,tonykaye,edwardnorton,edwardfurlong,beverlyd'angelo,jenniferlien, ,drama tonykaye edwardnorton edwardfurlong beverlyd'angelo jenniferlien  
The Usual Suspects,1995,Adult,crime  mystery  thriller,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",bryansinger,kevinspacey,gabrielbyrne,chazzpalminteri,stephenbaldwin, ,crime  mystery  thriller bryansinger kevinspacey gabrielbyrne chazzpalminteri stephenbaldwin  
Léon,1994,Adult,action  crime  drama,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",lucbesson,jeanreno,garyoldman,natalieportman,dannyaiello, ,action  crime  drama lucbesson jeanreno garyoldman natalieportman dannyaiello  
The Lion King,1994,Family,animation  adventure  drama,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",rogerallers,robminkoff,matthewbroderick,jeremyirons,jamesearljones, ,animation  adventure  drama rogerallers robminkoff matthewbroderick jeremyirons jamesearljones  
Terminator 2: Judgment Day,1991,Family,action  sci-fi,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",jamescameron,arnoldschwarzenegger,lindahamilton,edwardfurlong,robertpatrick, ,action  sci-fi jamescameron arnoldschwarzenegger lindahamilton edwardfurlong robertpatrick  
Nuovo Cinema Paradiso,1988,Family,drama  romance,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,giuseppetornatore,philippenoiret,enzocannavale,antonellaattili,isadanieli, ,drama  romance giuseppetornatore philippenoiret enzocannavale antonellaattili isadanieli  
Hotaru no haka,1988,Family,animation  drama  war,8.5,A young boy and his little sister struggle to survive in Japan during World War II.,isaotakahata,tsutomutatsumi,ayanoshiraishi,akemiyamaguchi,yoshikoshinohara, ,animation  drama  war isaotakahata tsutomutatsumi ayanoshiraishi akemiyamaguchi yoshikoshinohara  
Back to the Future,1985,Family,adventure  comedy  sci-fi,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",robertzemeckis,michaelj.fox,christopherlloyd,leathompson,crispinglover, ,adventure  comedy  sci-fi robertzemeckis michaelj.fox christopherlloyd leathompson crispinglover  
